60;Главный корпус ФТИ им. Иоффе;;;НИИ;Академика Харитона, 7 Заповедная, 51, Санкт-Петербург;
61;НИИ прикладной астрономии РАН;;;НИИ;Заповедная, 51 к3, Санкт-Петербург;
62;Санаторий Стрельна;1960-1970;В.Э.Шевеленко, Ю.А.Иванова.;Санаторий;Ул. Портовая 19, Санкт-Петербург;
63;ПУНК СПбГУ;;;Культурное;Ботаническая, 68, Санкт-Петербург;
64;Петродворцовый учебно-научный комплекс СПбГУ;;;Учебное;Ульяновская 1, Санкт-Петербург;
65;СПб ГБУЗ «Городской клинический онкологический диспансер»;1979;Э.В. Кондратович;Больница;Ветеранов 56, Санкт-Петербург;аналог 84
66;ЦКБ Машиностроения;1972;Б.И. Козырев;НИИ;Красногвардейская пл., 3, Санкт-Петербург;
67;Комплекс жилых домов на Свердловской набережной;1969-1971;А.В. Васильев;Жилое;Свердловская наб 60, 62, 64, Санкт-Петербург;
68;Жилой дом;1974-1977;Н. М. Назарьин;Жилое;Наб. Черной речки 55, Торжковская 1, Санкт-Петербург;
69;ДШИ «Охтинский центр эстетического воспитания»;1977;Г.А. Васильев;Учебное;Маршала Тухачевского 8, Санкт-Петербург;
70;Гостиница Карелия;1979;Г.В. Костюрин;Гостиница;Маршала Тухачевского 27 к2, Санкт-Петербург;
71;Жилой дом;1978;;Жилое;Пр. Художников 9, Санкт-Петербург;
72;"Объединение ""Электросила""";1970;Т.Ф. Беленькая, М.А. Садовский, В.И. Кисельгоф;Специальное;Московский 158, Санкт-Петербург;
73;"Завод ""Красный выборжец""";1970-1979;Т.Ф. Беленькая, В.А. Волков;Специальное;Кондратьевский пр. 6-8, Санкт-Петербург;
74;Гимназия №622 Выборгского района;1991;М.А. Садовский, С.Ф. Голубев;Учебное;Выборгское шоссе 7к2, Санкт-Петербург;
75;"Завод ""Электросила"" Термосварочный корпус ";1980-е;;Специальное;Решетникова 16, Санкт-Петербург;
76;Дом быта;1968-1970;О.В. Василенко, Я.Д. Болотин;Общественное;Нарвский 18, Санкт-Петербург;
77;ВНИИ Галургии;;А.В. Жук;НИИ;пр. Народного Ополчения 2, Санкт-Петербург;
78;"Гостиница ""Охтинская""";1991;;Гостиница;Большеохтинский пр. 4, Санкт-Петербург;
79;Санкт-Петербургский государственный торгово-экономический университет;1977;;Учебное;Новороссийская 50, Санкт-Петербург; 
80;Дворец бракосочетаний Выборгского района;1982;;Общественное;Институтский пр. 8, Санкт-Петербург;
81;Комплекс завода Светлана. Проходная на Тореза ;;;Специальное;пр. Тореза 64, пр. Энгельса, 27 лит ВИ, Санкт-Петербург;
82;Комбинат Скульптура;;;Специальное;пр. Тореза 98, Санкт-Петербург;
83;Пенсионный фонд СПб/Райком КПСС;1995;;Общественное;пр. Энгельса 73, Санкт-Петербург;
84;Больница Св. Георгия;1985-1986;Э.В. Кондратович, Е.Н. Сперанский;Больница;Северный пр. 1, Санкт-Петербург;аналог 65
85;Жилые дома вдоль Коломяжского пр.;1988;С.П. Шмаков;Жилое;Коломяжский проспект, 32,34 к2, Котельникова аллея, 1,2, Санкт-Петербург;
86;ЛОМО;;;Промышленное;Оптиков 4, Санкт-Петербург;
87;Дворец спорта СКА;;;Спортивное;Ждановская ул. 2к, Санкт-Петербург;
88;Петростат;;;Специальное;Профессора Попова 39, Санкт-Петербург;
89;Управление ГИБДД ГУ МВД;;;Специальное;Профессора Попова 42, Санкт-Петербург;
90;Дом Художников;1961;;Специальное;Песочная наб 16, Санкт-Петербург;
91;Государственная резиденция «К-2»;1967;В.А. Жук;Специальное;наб. р. Малой Невки 6, Санкт-Петербург;
92;Комплексная школа высшего спортивного мастерства;1986;Э.Н. Юшманов;Спортивное;Каменноостровский пр. 68, Санкт-Петербург;
93;Офисное здание (бывш. КБСМ);;;Специальное;Лесной пр. 64, Санкт-Петербург;
94;Административный корпус трамвайно-троллейбусного парка;;;Специальное;Гражданский пр 131А, Санкт-Петербург;
95;НИИ онкологии им. Н.Н. Петрова;;;НИИ/Больница;Ленинградская ул. 68, Санкт-Петербург;
96;Жилой дом;1975-1977;Н.М. Захарьина, И.А. Солодовников, Г.И. Буряков;Жилое;Приморское шоссе, 350 А, Санкт-Петербург;
97;Жилой дом;1981-1985;Н.М. Захарьина;Жилое;ул. Токарева, 15, Санкт-Петербург;
98;Жилой дом;1985;Н.М. Захарьина;Жилое;ул. Токарева, 12, Санкт-Петербург;
99;Жилой дом;;Н.М. Захарьина;Жилое;ул. Токарева, 14а, Санкт-Петербург;
100;Здание райкома КПСС и исполкома г. Пушкина - Пушкинская районная администрация;1979-1986;Н.М. Захарьина, И.А. Солодовников;Общественное;Октябрьский бульв., 24, Санкт-Петербург;
101;"НИИ лесного хозяйства . Главный корпус (ФГУ ""СПбНИИЛХ"")";1974;Билинский Ю.В.;НИИ;Институтский пр., 21, Санкт-Петербург;
102;"Санаторий ""Белые ночи""";;;Санаторий;Приморское шоссе, 38-й км, 2 А, Санкт-Петербург;
103;Ленинградский аэровокзал (Пулково-1);1965-1972;Ж.М. Вержбицкий, А.В. Жук;Транспорт;Пулковское шоссе, 41 лит Б, Санкт-Петербург;
104;"Вестибюль ст. м. ""Чернышевская""";1958;А.С. Гецкин, В.П. Шувалова;Транспорт;пр. Чернышевского, 20, Санкт-Петербург;
105;"Вестибюль ст. м. ""Площадь Ленина""";1962;А. К. Андреев, Ю.Н. Козлов;Транспорт;Боткинская ул., 5, Санкт-Петербург;
106;"Вестибюль ст. м. ""Выборгская""";1975;;Транспорт;ул. Смолячкова, 21, Санкт-Петербург;
107;"Вестибюль ст. м. ""Лесная""";1975;;Транспорт;ул. Кантемировская, 25, Санкт-Петербург;
108;"Вестибюль ст. м. ""Площадь Мужества""";1975;;Транспорт;Политехническая, 17 к1, Санкт-Петербург;
109;"Вестибюль ст. м. ""Политехническая""";1975;;Транспорт;Политехническая, 29а лит А, Санкт-Петербург;
110;"Вестибюль ст. м. ""Академическая""";1975;;Транспорт;пр. Науки, 19 к1, Санкт-Петербург;
111;"Вестибюль ст. м. ""Гражданский проспект""";1978;;Транспорт;Гражданский пр., 116 лит А, Санкт-Петербург;
112;"Вестибюль ст. м. ""Девяткино""";1978;;Транспорт;ЛО, Мурино, Привокзальная площадь, 6, Санкт-Петербург;
113;"Вестибюль ст. м. ""Купчино""";1972;;Транспорт;Витебский проспект, 108, Санкт-Петербург;
114;"Вестибюль ст. м. ""Звездная""";1972;;Транспорт;ул. Звёздная, 3 к1, Санкт-Петербург;
115;"Вестибюль ст. м. ""Парк Победы""";1961;;Транспорт;Московский пр., 188, Санкт-Петербург;
116;"Вестибюль ст. м. ""Электросила""";1961;;Транспорт;Московский пр., 141, Санкт-Петербург;
117;"Вестибюль ст. м. ""Фрунзенская""";1961;;Транспорт;Московский пр., 71, Санкт-Петербург;
118;"Вестибюль ст. м. ""Сенная площадь""";1963;;Транспорт;Сенная пл., 2а, Санкт-Петербург;
119;"Вестибюль ст. м. ""Горьковская""";1963;;Транспорт;Александровский парк, 6, Санкт-Петербург;
120;"Вестибюль ст. м. ""Черная речка""";1982;;Транспорт;ул. Савушкина, 2 лит А, Санкт-Петербург;
121;"Вестибюль ст. м. ""Пионерская""";1982;;Транспорт;Коломяжский пр., 24, Санкт-Петербург;
122;"Вестибюль ст. м. ""Удельная""";1982;;Транспорт;ул. Елецкая, 15а, Санкт-Петербург;
123;"Вестибюль ст. м. ""Озерки""";1988;;Транспорт;Выборгское ш., 1, Санкт-Петербург;
124;"Вестибюль ст. м. ""Проспект Просвещения""";1988;;Транспорт;пр. Энгельса, 140, Санкт-Петербург;
125;"Вестибюль ст. м. ""Рыбацкое""";1984;;Транспорт;ул. Тепловозная, 2, Санкт-Петербург;
