Номер;Название;Годы постройки;Архитектор;Назначение;Адрес;Примечания, комментарии;Lat;Lon
56;СПб ГБУЗ «Городская многопрофильная больница № 2»;1978-1991;;Больница;Учебный пер. 5, Санкт-Петербург;;60.037252;30.336763
57;СПб ГБУЗ «Городская поликлиника № 104»;;;Поликлиника;Сикейроса 10а, Санкт-Петербург;;60.035746;30.331041
58;"НПО ""Импульс""";;;НИИ;Киришская, 2 Просвещения проспект, 89 , Санкт-Петербург;;60.032263;30.425669
59;НИИ «Электронмаш»;;;НИИ;Гражданский 111, Санкт-Петербург;;60.029665;30.415913
60;Главный корпус ФТИ им. Иоффе;;;НИИ;Академика Харитона, 7 Заповедная, 51, Санкт-Петербург;;60.045556;30.252618
61;НИИ прикладной астрономии РАН;;;НИИ;Заповедная, 51 к3, Санкт-Петербург;;60.045417;30.264889
62;Санаторий Стрельна;1960-1970;В.Э.Шевеленко, Ю.А.Иванова.;Санаторий;Ул. Портовая 19, Санкт-Петербург;;59.866224;30.247848
63;ПУНК СПбГУ;;;Культурное;Ботаническая, 68, Санкт-Петербург;;59.873108;29.827508
64;Петродворцовый учебно-научный комплекс СПбГУ;;;Учебное;Ульяновская 1, Санкт-Петербург;;59.881886;29.825622
65;СПб ГБУЗ «Городской клинический онкологический диспансер»;1979;Э.В. Кондратович;Больница;Ветеранов 56, Санкт-Петербург;аналог 84;59.837761;30.238155
66;ЦКБ Машиностроения;1972;Б.И. Козырев;НИИ;Красногвардейская пл., 3, Санкт-Петербург;;59.939176;30.410721
67;Комплекс жилых домов на Свердловской набережной;1969-1971;А.В. Васильев;Жилое;Свердловская наб 60, 62, 64, Санкт-Петербург;;59.952236;30.408341
68;Жилой дом;1974-1977;Н. М. Назарьин;Жилое;Наб. Черной речки 55, Торжковская 1, Санкт-Петербург;;59.986538;30.303678
69;ДШИ «Охтинский центр эстетического воспитания»;1977;Г.А. Васильев;Учебное;Маршала Тухачевского 8, Санкт-Петербург;;59.966313;30.429119
70;Гостиница Карелия;1979;Г.В. Костюрин;Гостиница;Маршала Тухачевского 27 к2, Санкт-Петербург;;59.969966;30.425831
71;Жилой дом;1978;;Жилое;Пр. Художников 9, Санкт-Петербург;;60.035841;30.344084
72;"Объединение ""Электросила""";1970;Т.Ф. Беленькая, М.А. Садовский, В.И. Кисельгоф;Специальное;Московский 158, Санкт-Петербург;;59.881868;30.322974
73;"Завод ""Красный выборжец""";1970-1979;Т.Ф. Беленькая, В.А. Волков;Специальное;Кондратьевский пр. 6-8, Санкт-Петербург;;59.960724;30.375911
74;Гимназия №622 Выборгского района;1991;М.А. Садовский, С.Ф. Голубев;Учебное;Выборгское шоссе 7к2, Санкт-Петербург;;60.04255;30.32142
75;"Завод ""Электросила"" Термосварочный корпус ";1980-е;;Специальное;Решетникова 16, Санкт-Петербург;;59.879502;30.329567
76;Дом быта;1968-1970;О.В. Василенко, Я.Д. Болотин;Общественное;Нарвский 18, Санкт-Петербург;;59.903548;30.274213
77;ВНИИ Галургии;;А.В. Жук;НИИ;пр. Народного Ополчения 2, Санкт-Петербург;;59.854553;30.282271
78;"Гостиница ""Охтинская""";1991;;Гостиница;Большеохтинский пр. 4, Санкт-Петербург;;59.948974;30.408961
79;Санкт-Петербургский государственный торгово-экономический университет;1977;;Учебное;Новороссийская 50, Санкт-Петербург; ;59.994405;30.358727
80;Дворец бракосочетаний Выборгского района;1982;;Общественное;Институтский пр. 8, Санкт-Петербург;;59.999696;30.346393
81;Комплекс завода Светлана. Проходная на Тореза ;;;Специальное;пр. Тореза 64, пр. Энгельса, 27 лит ВИ, Санкт-Петербург;;60.010191;30.3428
82;Комбинат Скульптура;;;Специальное;пр. Тореза 98, Санкт-Петербург;;60.019163;30.332047
83;Пенсионный фонд СПб/Райком КПСС;1995;;Общественное;пр. Энгельса 73, Санкт-Петербург;;60.022625;30.321824
84;Больница Св. Георгия;1985-1986;Э.В. Кондратович, Е.Н. Сперанский;Больница;Северный пр. 1, Санкт-Петербург;аналог 65;60.029175;30.327349
85;Жилые дома вдоль Коломяжского пр.;1988;С.П. Шмаков;Жилое;Коломяжский проспект, 32,34 к2, Котельникова аллея, 1,2, Санкт-Петербург;;59.99143;30.300929
86;ЛОМО;;;Промышленное;Оптиков 4, Санкт-Петербург;;59.995125;30.252375
87;Дворец спорта СКА;;;Спортивное;Ждановская ул. 2к, Санкт-Петербург;;59.957624;30.279316
88;Петростат;;;Специальное;Профессора Попова 39, Санкт-Петербург;;59.97169;30.29509
89;Управление ГИБДД ГУ МВД;;;Специальное;Профессора Попова 42, Санкт-Петербург;;59.970411;30.289368
90;Дом Художников;1961;;Специальное;Песочная наб 16, Санкт-Петербург;;59.973194;30.293383
91;Государственная резиденция «К-2»;1967;В.А. Жук;Специальное;наб. р. Малой Невки 6, Санкт-Петербург;;59.97522;30.290688
92;Комплексная школа высшего спортивного мастерства;1986;Э.Н. Юшманов;Спортивное;Каменноостровский пр. 68, Санкт-Петербург;;59.981235;30.299168
93;Офисное здание (бывш. КБСМ);;;Специальное;Лесной пр. 64, Санкт-Петербург;;59.987109;30.340006
94;Административный корпус трамвайно-троллейбусного парка;;;Специальное;Гражданский пр 131А, Санкт-Петербург;;60.03953;30.425876
95;НИИ онкологии им. Н.Н. Петрова;;;НИИ/Больница;Ленинградская ул. 68, Санкт-Петербург;;60.119323;30.17989
96;Жилой дом;1975-1977;Н.М. Захарьина, И.А. Солодовников, Г.И. Буряков;Жилое;Приморское шоссе, 350 А, Санкт-Петербург;;59.995012;30.148772
97;Жилой дом;1981-1985;Н.М. Захарьина;Жилое;ул. Токарева, 15, Санкт-Петербург;;60.090872;29.95665
98;Жилой дом;1985;Н.М. Захарьина;Жилое;ул. Токарева, 12, Санкт-Петербург;;60.088826;29.953515
99;Жилой дом;;Н.М. Захарьина;Жилое;ул. Токарева, 14а, Санкт-Петербург;;60.088031;29.949284
100;Здание райкома КПСС и исполкома г. Пушкина - Пушкинская районная администрация;1979-1986;Н.М. Захарьина, И.А. Солодовников;Общественное;Октябрьский бульв., 24, Санкт-Петербург;;59.722786;30.417306
101;"НИИ лесного хозяйства . Главный корпус (ФГУ ""СПбНИИЛХ"")";1974;Билинский Ю.В.;НИИ;Институтский пр., 21, Санкт-Петербург;;60.003138;30.350363
102;"Санаторий ""Белые ночи""";;;Санаторий;Приморское шоссе, 38-й км, 2 А, Санкт-Петербург;;60.119413;29.952041
103;Ленинградский аэровокзал (Пулково-1);1965-1972;Ж.М. Вержбицкий, А.В. Жук;Транспорт;Пулковское шоссе, 41 лит Б, Санкт-Петербург;;59.799983;30.271195
104;"Вестибюль ст. м. ""Чернышевская""";1958;А.С. Гецкин, В.П. Шувалова;Транспорт;пр. Чернышевского, 20, Санкт-Петербург;;59.94458;30.359724
105;"Вестибюль ст. м. ""Площадь Ленина""";1962;А. К. Андреев, Ю.Н. Козлов;Транспорт;Боткинская ул., 5, Санкт-Петербург;;59.958651;30.354882
106;"Вестибюль ст. м. ""Выборгская""";1975;;Транспорт;ул. Смолячкова, 21, Санкт-Петербург;;59.971037;30.347426
107;"Вестибюль ст. м. ""Лесная""";1975;;Транспорт;ул. Кантемировская, 25, Санкт-Петербург;;59.984796;30.344147
108;"Вестибюль ст. м. ""Площадь Мужества""";1975;;Транспорт;Политехническая, 17 к1, Санкт-Петербург;;59.999035;30.366192
109;"Вестибюль ст. м. ""Политехническая""";1975;;Транспорт;Политехническая, 29а лит А, Санкт-Петербург;;60.008932;30.37089
110;"Вестибюль ст. м. ""Академическая""";1975;;Транспорт;пр. Науки, 19 к1, Санкт-Петербург;;60.012746;30.395926
